Occupancy,Flood,Age
1.200,0.000,0.365
1.200,0.000,0.373
1.200,0.000,0.379
1.200,0.000,0.385
1.200,0.000,0.386
1.200,0.000,0.391
1.200,0.000,0.396
1.200,0.000,0.398
1.200,0.000,0.404
1.200,0.000,0.405
1.200,0.000,0.410
1.200,0.000,0.415
1.200,0.000,0.420
1.200,0.000,0.425
1.200,0.000,0.347
1.200,0.000,0.352
1.200,0.000,0.357
1.200,0.000,0.361
1.200,0.000,0.363
1.200,0.000,0.368
1.200,0.000,0.373
1.200,0.000,0.378
1.200,0.000,0.383
1.200,0.000,0.343
1.200,0.000,0.347
1.200,0.000,0.352
1.200,0.000,0.357
1.200,0.000,0.359
1.200,0.000,0.350
1.200,0.000,0.354
1.200,0.000,0.359
1.200,0.000,0.361
1.200,0.000,0.366
1.200,0.000,0.275
1.200,0.000,0.277
1.200,0.000,0.281
1.200,0.000,0.287
1.200,0.000,0.288
1.200,0.000,0.293
1.200,0.000,0.294
1.200,0.000,0.296
1.200,0.000,0.301
1.200,0.000,0.303
1.200,0.000,0.308
1.200,0.000,0.311
1.200,0.000,0.316
1.200,0.000,0.318
1.200,0.000,0.270
1.200,0.000,0.275
1.200,0.000,0.277
1.200,0.000,0.279
1.200,0.000,0.283
1.200,0.000,0.289
1.200,0.000,0.291
1.200,0.000,0.293
1.200,0.000,0.231
1.200,0.000,0.233
1.200,0.000,0.239
1.200,0.000,0.240
1.200,0.000,0.243
1.200,0.000,0.247
1.200,0.000,0.249
1.200,0.000,0.252
1.200,0.000,0.257
1.200,0.000,0.259
1.200,0.000,0.263
1.200,0.000,0.266
1.200,0.000,0.271
1.200,0.000,0.269
1.200,0.000,0.271
1.200,0.000,0.276
1.200,0.000,0.278
1.200,0.000,0.281
1.200,0.000,0.286
1.200,0.000,0.288
1.200,0.000,0.290
1.200,0.000,0.295
1.200,0.000,0.297
1.200,0.000,0.302
1.200,0.000,0.304
1.200,0.000,0.307
1.200,0.000,0.311
1.200,0.000,0.314
1.200,0.000,0.319
1.200,0.000,0.321
1.200,0.000,0.324
1.200,0.000,0.330
1.200,0.000,0.332
1.200,0.000,0.334
1.200,0.000,0.340
1.200,0.000,0.342
1.200,0.000,0.345
1.200,0.000,0.350
1.200,0.000,0.353
1.200,0.000,0.356
1.200,0.000,0.361
1.200,0.000,0.363
1.200,0.000,0.357
1.200,0.000,0.360
1.200,0.000,0.365
1.200,0.000,0.367
1.200,0.000,0.373
1.200,0.000,0.376
1.200,0.000,0.379
1.200,0.000,0.381
1.200,0.000,0.384
1.200,0.000,0.387
1.200,0.000,0.390
1.200,0.000,0.395
1.200,0.000,0.398
1.200,0.000,0.401
1.200,0.000,0.407
1.200,0.000,0.409
1.200,0.000,0.412
1.200,0.000,0.415
1.200,0.000,0.417
1.200,0.000,0.420
1.200,0.000,0.423
1.200,0.000,0.426
1.200,0.000,0.429
1.200,0.000,0.434
1.200,0.000,0.437
1.200,0.000,0.417
1.200,0.000,0.420
1.200,0.000,0.423
1.200,0.000,0.426
1.200,0.000,0.427
1.200,0.000,0.433
1.200,0.000,0.436
1.200,0.000,0.438
1.200,0.000,0.420
1.200,0.000,0.426
1.200,0.000,0.429
1.200,0.000,0.431
1.200,0.000,0.432
1.200,0.000,0.435
1.200,0.000,0.440
1.200,0.000,0.443
1.200,0.000,0.446
1.200,0.000,0.451
1.200,0.000,0.454
1.200,0.000,0.457
1.200,0.000,0.460
1.200,0.000,0.465
1.200,0.000,0.468
1.200,0.000,0.471
1.200,0.000,0.472
1.200,0.000,0.477
1.200,0.000,0.480
1.200,0.000,0.483
1.200,0.000,0.485
1.200,0.000,0.487
1.200,0.000,0.490
1.200,0.000,0.493
1.200,0.000,0.497
1.200,0.000,0.499
1.200,0.000,0.502
1.200,0.000,0.505
1.200,0.000,0.508
1.200,0.000,0.512
1.200,0.000,0.515
1.200,0.000,0.521
1.200,0.000,0.524
