State_Index,Mac_Bin,Flood_Bin,Age_Bin,Mac_Range,Flood_Range,Age_Range,Q_EVICT,Q_INC_AGE,Q_DEC_AGE,Q_REBALANCE,Best_Action
150,2,2,6,0.25-0.38,0.25-0.38,0.75-0.88,0.0,0.0,0.0,0.0,EVICT
151,2,2,7,0.25-0.38,0.25-0.38,0.88-1.00,0.0,0.0,0.0,0.0,EVICT
152,2,3,0,0.25-0.38,0.38-0.50,0.00-0.12,-0.119,0.1326,0.0,0.0,INC_AGE
153,2,3,1,0.25-0.38,0.38-0.50,0.12-0.25,-0.0927,0.0,0.0,0.0,INC_AGE
154,2,3,2,0.25-0.38,0.38-0.50,0.25-0.38,0.0,0.0,-0.0641,0.0,EVICT
155,2,3,3,0.25-0.38,0.38-0.50,0.38-0.50,0.0,0.0,0.0,0.0,EVICT
156,2,3,4,0.25-0.38,0.38-0.50,0.50-0.62,0.0,0.0,0.0,0.0,EVICT
157,2,3,5,0.25-0.38,0.38-0.50,0.62-0.75,0.0,0.0,0.0,0.0,EVICT
158,2,3,6,0.25-0.38,0.38-0.50,0.75-0.88,0.0,0.0,0.0,0.0,EVICT
159,2,3,7,0.25-0.38,0.38-0.50,0.88-1.00,0.0,0.0,0.0,0.0,EVICT
160,2,4,0,0.25-0.38,0.50-0.62,0.00-0.12,-0.042,-0.0008,0.0,0.0,DEC_AGE
161,2,4,1,0.25-0.38,0.50-0.62,0.12-0.25,-0.0498,0.0,0.0,0.0,INC_AGE
162,2,4,2,0.25-0.38,0.50-0.62,0.25-0.38,0.0,0.0,0.0,0.0,EVICT
163,2,4,3,0.25-0.38,0.50-0.62,0.38-0.50,0.0,0.0,0.0,0.0,EVICT
164,2,4,4,0.25-0.38,0.50-0.62,0.50-0.62,0.0,0.0,0.0,0.0,EVICT
165,2,4,5,0.25-0.38,0.50-0.62,0.62-0.75,0.0,0.0,0.0,0.0,EVICT
166,2,4,6,0.25-0.38,0.50-0.62,0.75-0.88,0.0,0.0,0.0,0.0,EVICT
167,2,4,7,0.25-0.38,0.50-0.62,0.88-1.00,0.0,0.0,0.0,0.0,EVICT
168,2,5,0,0.25-0.38,0.62-0.75,0.00-0.12,0.0,0.0,-0.1725,0.0,EVICT
169,2,5,1,0.25-0.38,0.62-0.75,0.12-0.25,0.0,0.0,0.0,0.0,EVICT
170,2,5,2,0.25-0.38,0.62-0.75,0.25-0.38,0.0,0.0,0.0,0.0,EVICT
171,2,5,3,0.25-0.38,0.62-0.75,0.38-0.50,0.0,0.0,0.0,0.0,EVICT
172,2,5,4,0.25-0.38,0.62-0.75,0.50-0.62,0.0,0.0,0.0,0.0,EVICT
173,2,5,5,0.25-0.38,0.62-0.75,0.62-0.75,0.0,0.0,0.0,0.0,EVICT
174,2,5,6,0.25-0.38,0.62-0.75,0.75-0.88,0.0,0.0,0.0,0.0,EVICT
175,2,5,7,0.25-0.38,0.62-0.75,0.88-1.00,0.0,0.0,0.0,0.0,EVICT
176,2,6,0,0.25-0.38,0.75-0.88,0.00-0.12,0.0,0.0,0.0,0.0,EVICT
177,2,6,1,0.25-0.38,0.75-0.88,0.12-0.25,0.0,0.0,0.0,0.0,EVICT
178,2,6,2,0.25-0.38,0.75-0.88,0.25-0.38,0.0,0.0,0.0,0.0,EVICT
179,2,6,3,0.25-0.38,0.75-0.88,0.38-0.50,0.0,0.0,0.0,0.0,EVICT
180,2,6,4,0.25-0.38,0.75-0.88,0.50-0.62,0.0,0.0,0.0,0.0,EVICT
181,2,6,5,0.25-0.38,0.75-0.88,0.62-0.75,0.0,0.0,0.0,0.0,EVICT
182,2,6,6,0.25-0.38,0.75-0.88,0.75-0.88,0.0,0.0,0.0,0.0,EVICT
183,2,6,7,0.25-0.38,0.75-0.88,0.88-1.00,0.0,0.0,0.0,0.0,EVICT
184,2,7,0,0.25-0.38,0.88-1.00,0.00-0.12,0.0,0.0,0.0,0.0,EVICT
185,2,7,1,0.25-0.38,0.88-1.00,0.12-0.25,0.0,0.0,0.0,0.0,EVICT
186,2,7,2,0.25-0.38,0.88-1.00,0.25-0.38,0.0,0.0,0.0,0.0,EVICT
187,2,7,3,0.25-0.38,0.88-1.00,0.38-0.50,0.0,0.0,0.0,0.0,EVICT
188,2,7,4,0.25-0.38,0.88-1.00,0.50-0.62,0.0,0.0,0.0,0.0,EVICT
189,2,7,5,0.25-0.38,0.88-1.00,0.62-0.75,0.0,0.0,0.0,0.0,EVICT
190,2,7,6,0.25-0.38,0.88-1.00,0.75-0.88,0.0,0.0,0.0,0.0,EVICT
191,2,7,7,0.25-0.38,0.88-1.00,0.88-1.00,0.0,0.0,0.0,0.0,EVICT
192,3,0,0,0.38-0.50,0.00-0.12,0.00-0.12,-0.8032,-0.6988,-1.2566,-0.8445,INC_AGE
193,3,0,1,0.38-0.50,0.00-0.12,0.12-0.25,-0.0146,0.35,0.0807,0.0725,INC_AGE
194,3,0,2,0.38-0.50,0.00-0.12,0.25-0.38,-0.3966,0.3681,0.0973,-0.109,INC_AGE
195,3,0,3,0.38-0.50,0.00-0.12,0.38-0.50,0.0,0.4561,-0.05,-0.0001,INC_AGE
196,3,0,4,0.38-0.50,0.00-0.12,0.50-0.62,-0.0068,0.0,0.0644,0.0,DEC_AGE
197,3,0,5,0.38-0.50,0.00-0.12,0.62-0.75,0.0146,0.3977,0.0,0.0,INC_AGE
198,3,0,6,0.38-0.50,0.00-0.12,0.75-0.88,-0.0083,0.0,0.0365,0.0,DEC_AGE
199,3,0,7,0.38-0.50,0.00-0.12,0.88-1.00,0.0,0.0,0.0,0.0,EVICT
200,3,1,0,0.38-0.50,0.12-0.25,0.00-0.12,-0.0498,-0.0333,-0.0946,-0.0524,INC_AGE
201,3,1,1,0.38-0.50,0.12-0.25,0.12-0.25,0.0,0.0,0.0676,0.0,DEC_AGE
202,3,1,2,0.38-0.50,0.12-0.25,0.25-0.38,0.0,0.0,0.0,0.0,EVICT
203,3,1,3,0.38-0.50,0.12-0.25,0.38-0.50,0.0,0.0,0.0,0.1777,REBALANCE
204,3,1,4,0.38-0.50,0.12-0.25,0.50-0.62,0.0,0.0,0.0,0.0,EVICT
205,3,1,5,0.38-0.50,0.12-0.25,0.62-0.75,0.0,0.0,0.0,0.0,EVICT
206,3,1,6,0.38-0.50,0.12-0.25,0.75-0.88,0.0,0.0,0.0,0.0,EVICT
207,3,1,7,0.38-0.50,0.12-0.25,0.88-1.00,0.0,0.0,0.0,0.0,EVICT
208,3,2,0,0.38-0.50,0.25-0.38,0.00-0.12,0.0,0.0,0.0,-0.0026,EVICT
209,3,2,1,0.38-0.50,0.25-0.38,0.12-0.25,0.0,0.0,0.0328,0.0,DEC_AGE
210,3,2,2,0.38-0.50,0.25-0.38,0.25-0.38,0.0,0.0,0.0,0.0,EVICT
211,3,2,3,0.38-0.50,0.25-0.38,0.38-0.50,0.0,0.0,0.0,0.0,EVICT
212,3,2,4,0.38-0.50,0.25-0.38,0.50-0.62,0.0,0.0,0.0,0.0,EVICT
